date,low_revenue
11/2/07,11565
2/1/08,10379
5/1/08,12009
8/1/08,14509
11/1/08,11728
1/20/09,9984
4/30/09,11832
7/30/09,13844
10/30/09,11375
1/29/10,10168
4/29/10,12388
7/29/10,14361
10/29/10,11587
1/28/11,10480
4/29/11,12185
7/29/11,14543
10/28/11,11852
2/3/12,11629
5/4/12,13153
8/3/12,14249
11/2/12,12073
2/1/13,11046
5/3/13,13088
8/2/13,15711
11/1/13,12957
1/31/14,11660
5/2/14,13403
8/1/14,16599
10/31/14,13681
1/30/15,12540
5/1/15,14129
7/31/15,17348
10/30/15,14360
1/29/16,13236
4/29/16,15234
7/29/16,18260
10/28/16,15739
2/3/17,15784
5/2/17,16860
8/2/17,19495
11/2/17,16770
2/2/18,15494
5/2/18,17360
8/2/18,20888
11/2/18,17415
2/1/19,15647
5/1/19,17741
8/1/19,20992
11/1/19,17388
1/31/20,16027
4/30/20,19675
7/30/20,27302
