date,volume,high,low,adj_close,close,open
2015-08-31,3915100000,1986.73,1965.98,1972.18,1972.18,1986.73
2015-09-01,4371850000,1970.09,1903.07,1913.85,1913.85,1970.09
2015-09-02,3742620000,1948.91,1916.52,1948.86,1948.86,1916.52
2015-09-03,3520700000,1975.01,1944.72,1951.13,1951.13,1950.79
2015-09-04,3167090000,1947.76,1911.21,1921.22,1921.22,1947.76
2015-09-08,3548650000,1970.42,1927.3,1969.41,1969.41,1927.3
2015-09-09,3652120000,1988.63,1937.88,1942.04,1942.04,1971.45
2015-09-10,3626320000,1965.29,1937.19,1952.29,1952.29,1941.59
2015-09-11,3218590000,1961.05,1939.19,1961.05,1961.05,1951.45
2015-09-14,3000200000,1963.06,1948.27,1953.03,1953.03,1963.06
2015-09-15,3239860000,1983.19,1954.3,1978.09,1978.09,1955.1
2015-09-16,3630680000,1997.26,1977.93,1995.31,1995.31,1978.02
2015-09-17,4183790000,2020.86,1986.73,1990.2,1990.2,1995.33
2015-09-18,6021240000,1989.66,1953.45,1958.03,1958.03,1989.66
2015-09-21,3269350000,1979.64,1955.8,1966.97,1966.97,1960.84
2015-09-22,3808260000,1961.39,1929.22,1942.74,1942.74,1961.39
2015-09-23,3190530000,1949.52,1932.57,1938.76,1938.76,1943.24
2015-09-24,4091530000,1937.17,1908.92,1932.24,1932.24,1934.81
2015-09-25,3721870000,1952.89,1921.5,1931.34,1931.34,1935.93
2015-09-28,4326660000,1929.18,1879.21,1881.77,1881.77,1929.18
2015-09-29,4132390000,1899.48,1871.91,1884.09,1884.09,1881.9
2015-09-30,4525070000,1920.53,1887.14,1920.03,1920.03,1887.14
2015-10-01,3983600000,1927.21,1900.7,1923.82,1923.82,1919.65
2015-10-02,4378570000,1951.36,1893.7,1951.36,1951.36,1921.77
2015-10-05,4334490000,1989.17,1954.33,1987.05,1987.05,1954.33
2015-10-06,4202400000,1991.62,1971.99,1979.92,1979.92,1986.63
2015-10-07,4666470000,1999.31,1976.44,1995.83,1995.83,1982.34
2015-10-08,3939140000,2016.5,1987.53,2013.43,2013.43,1994.01
2015-10-09,3706900000,2020.13,2007.61,2014.89,2014.89,2013.73
2015-10-12,2893250000,2018.66,2010.55,2017.46,2017.46,2015.65
2015-10-13,3401920000,2022.34,2001.78,2003.69,2003.69,2015.0
2015-10-14,3644590000,2009.56,1990.73,1994.24,1994.24,2003.66
2015-10-15,3746290000,2024.15,1996.47,2023.86,2023.86,1996.47
2015-10-16,3595430000,2033.54,2020.46,2033.11,2033.11,2024.37
2015-10-19,3287320000,2034.45,2022.31,2033.66,2033.66,2031.73
2015-10-20,3331500000,2039.12,2026.61,2030.77,2030.77,2033.13
2015-10-21,3627790000,2037.97,2017.22,2018.94,2018.94,2033.47
2015-10-22,4430850000,2055.2,2021.88,2052.51,2052.51,2021.88
2015-10-23,4108460000,2079.74,2058.19,2075.15,2075.15,2058.19
2015-10-26,3385800000,2075.14,2066.53,2071.18,2071.18,2075.08
2015-10-27,4216880000,2070.37,2058.84,2065.89,2065.89,2068.75
2015-10-28,4698110000,2090.35,2063.11,2090.35,2090.35,2066.48
2015-10-29,4008940000,2092.52,2082.63,2089.41,2089.41,2088.35
2015-10-30,4256200000,2094.32,2079.34,2079.36,2079.36,2090.0
2015-11-02,3760020000,2106.2,2080.76,2104.05,2104.05,2080.76
2015-11-03,4272060000,2116.48,2097.51,2109.79,2109.79,2102.63
2015-11-04,4078870000,2114.59,2096.98,2102.31,2102.31,2110.6
2015-11-05,4051890000,2108.78,2090.41,2099.93,2099.93,2101.68
2015-11-06,4369020000,2101.91,2083.74,2099.2,2099.2,2098.6
2015-11-09,3882350000,2096.56,2068.24,2078.58,2078.58,2096.56
2015-11-10,3821440000,2083.67,2069.91,2081.72,2081.72,2077.19
2015-11-11,3692410000,2086.94,2074.85,2075.0,2075.0,2083.41
2015-11-12,4016370000,2072.29,2045.66,2045.97,2045.97,2072.29
2015-11-13,4278750000,2044.64,2022.02,2023.04,2023.04,2044.64
2015-11-16,3741240000,2053.22,2019.39,2053.19,2053.19,2022.08
2015-11-17,4427350000,2066.69,2045.9,2050.44,2050.44,2053.67
2015-11-18,3926390000,2085.31,2051.99,2083.58,2083.58,2051.99
2015-11-19,3628110000,2086.74,2078.76,2081.24,2081.24,2083.7
2015-11-20,3929600000,2097.06,2082.82,2089.17,2089.17,2082.82
2015-11-23,3587980000,2095.61,2081.39,2086.59,2086.59,2089.41
2015-11-24,3884930000,2094.12,2070.29,2089.14,2089.14,2084.42
2015-11-25,2852940000,2093.0,2086.3,2088.87,2088.87,2089.3
2015-11-27,1466840000,2093.29,2084.13,2090.11,2090.11,2088.82
2015-11-30,4275030000,2093.81,2080.41,2080.41,2080.41,2090.95
2015-12-01,3712120000,2103.37,2082.93,2102.63,2102.63,2082.93
2015-12-02,3950640000,2104.27,2077.11,2079.51,2079.51,2101.71
2015-12-03,4306490000,2085.0,2042.35,2049.62,2049.62,2080.71
2015-12-04,4214910000,2093.84,2051.24,2091.69,2091.69,2051.24
2015-12-07,4043820000,2090.42,2066.78,2077.07,2077.07,2090.42
2015-12-08,4173570000,2073.85,2052.32,2063.59,2063.59,2073.39
2015-12-09,4385250000,2080.33,2036.53,2047.62,2047.62,2061.17
2015-12-10,3715150000,2067.65,2045.67,2052.23,2052.23,2047.93
2015-12-11,4301060000,2047.27,2008.8,2012.37,2012.37,2047.27
2015-12-14,4612440000,2022.92,1993.26,2021.94,2021.94,2013.37
2015-12-15,4353540000,2053.87,2025.55,2043.41,2043.41,2025.55
2015-12-16,4635450000,2076.72,2042.43,2073.07,2073.07,2046.5
2015-12-17,4327390000,2076.37,2041.66,2041.89,2041.89,2073.76
2015-12-18,6683070000,2040.81,2005.33,2005.55,2005.55,2040.81
2015-12-21,3760280000,2022.9,2005.93,2021.15,2021.15,2010.27
2015-12-22,3520860000,2042.74,2020.49,2038.97,2038.97,2023.15
2015-12-23,3484090000,2064.73,2042.2,2064.29,2064.29,2042.2
2015-12-24,1411860000,2067.36,2058.73,2060.99,2060.99,2063.52
2015-12-28,2492510000,2057.77,2044.2,2056.5,2056.5,2057.77
2015-12-29,2542000000,2081.56,2060.54,2078.36,2078.36,2060.54
2015-12-30,2367430000,2077.34,2061.97,2063.36,2063.36,2077.34
2015-12-31,2655330000,2062.54,2043.62,2043.94,2043.94,2060.59
2016-01-04,4304880000,2038.2,1989.68,2012.66,2012.66,2038.2
2016-01-05,3706620000,2021.94,2004.17,2016.71,2016.71,2013.78
2016-01-06,4336660000,2011.71,1979.05,1990.26,1990.26,2011.71
2016-01-07,5076590000,1985.32,1938.83,1943.09,1943.09,1985.32
2016-01-08,4664940000,1960.4,1918.46,1922.03,1922.03,1945.97
2016-01-11,4607290000,1935.65,1901.1,1923.67,1923.67,1926.12
2016-01-12,4887260000,1947.38,1914.35,1938.68,1938.68,1927.83
2016-01-13,5087030000,1950.33,1886.41,1890.28,1890.28,1940.34
2016-01-14,5241110000,1934.47,1878.93,1921.84,1921.84,1891.68
2016-01-15,5468460000,1916.68,1857.83,1880.33,1880.33,1916.68
2016-01-19,4928350000,1901.44,1864.6,1881.33,1881.33,1888.66
2016-01-20,6416070000,1876.18,1812.29,1859.33,1859.33,1876.18
2016-01-21,5078810000,1889.85,1848.98,1868.99,1868.99,1861.46
2016-01-22,4901760000,1908.85,1877.4,1906.9,1906.9,1877.4
2016-01-25,4401380000,1906.28,1875.97,1877.08,1877.08,1906.28
2016-01-26,4357940000,1906.73,1878.79,1903.63,1903.63,1878.79
2016-01-27,4754040000,1916.99,1872.7,1882.95,1882.95,1902.52
2016-01-28,4693010000,1902.96,1873.65,1893.36,1893.36,1885.22
2016-01-29,5497570000,1940.24,1894.0,1940.24,1940.24,1894.0
2016-02-01,4322530000,1947.2,1920.3,1939.38,1939.38,1936.94
2016-02-02,4463190000,1935.26,1897.29,1903.03,1903.03,1935.26
2016-02-03,5172950000,1918.01,1872.23,1912.53,1912.53,1907.07
2016-02-04,5193320000,1927.35,1900.52,1915.45,1915.45,1911.67
2016-02-05,4929940000,1913.07,1872.65,1880.05,1880.05,1913.07
2016-02-08,5636460000,1873.25,1828.46,1853.44,1853.44,1873.25
2016-02-09,5183220000,1868.25,1834.94,1852.21,1852.21,1848.46
2016-02-10,4471170000,1881.6,1850.32,1851.86,1851.86,1857.1
2016-02-11,5500800000,1847.0,1810.1,1829.08,1829.08,1847.0
2016-02-12,4696920000,1864.78,1833.4,1864.78,1864.78,1833.4
2016-02-16,4570670000,1895.77,1871.44,1895.58,1895.58,1871.44
2016-02-17,5011540000,1930.68,1898.8,1926.82,1926.82,1898.8
2016-02-18,4436490000,1930.0,1915.09,1917.83,1917.83,1927.57
2016-02-19,4142850000,1918.78,1902.17,1917.78,1917.78,1916.74
2016-02-22,4054710000,1946.7,1924.44,1945.5,1945.5,1924.44
2016-02-23,3890650000,1942.38,1919.44,1921.27,1921.27,1942.38
2016-02-24,4317250000,1932.08,1891.0,1929.8,1929.8,1917.56
2016-02-25,4118210000,1951.83,1925.41,1951.7,1951.7,1931.87
2016-02-26,4348510000,1962.96,1945.78,1948.05,1948.05,1954.95
2016-02-29,4588180000,1958.27,1931.81,1932.23,1932.23,1947.13
