Date,Temp_Max,Temp_Avg,Temp_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Precipitation (in)_Total,Rain
11/1/19,66,52.1,44,96,58,38,0.2,1
11/2/19,50,45.5,40,71,58.8,46,0,0
11/3/19,52,47.7,44,56,47.7,38,0,0
11/4/19,55,50.3,43,61,48.4,35,0,0
11/5/19,61,56.7,51,80,63.9,42,0,0
11/6/19,55,51.4,48,61,41.7,28,0,0
11/7/19,58,50.6,42,83,60.8,43,0,0
11/8/19,41,36.9,32,65,50,34,0.08,1
11/9/19,41,36.3,30,59,46.6,29,0,0
11/10/19,52,46.8,40,54,44.7,32,0,0
11/11/19,61,54.8,49,84,62.7,44,0,0
11/12/19,57,42.6,27,80,61,40,0,0
11/13/19,34,29.7,25,56,43.1,27,0.02,0
11/14/19,45,38.3,29,52,44,37,0,0
11/15/19,51,45.4,38,56,40.9,31,0,0
11/16/19,42,38,33,58,33.2,18,0,0
11/17/19,44,38.8,31,65,57.6,38,0,0
11/18/19,43,40.6,38,93,85.4,68,0.01,1
11/19/19,48,44.4,41,93,74.6,56,0.62,1
11/20/19,48,43.7,41,74,61.3,41,0,0
11/21/19,53,47.1,40,68,52.7,40,0,0
11/22/19,54,48.3,39,82,57.7,42,0,0
11/23/19,45,41.2,36,70,46.3,36,0.07,1
11/24/19,48,43.9,40,93,82.3,60,0.55,1
11/25/19,53,47.3,41,67,59,48,0.19,1
11/26/19,59,51.9,44,76,61.7,42,0,0
11/27/19,58,53.5,46,89,75.3,40,0,0
11/28/19,53,46.5,39,62,52,40,0.02,1
11/29/19,42,36.6,32,64,56.6,47,0,0
11/30/19,44,37.4,32,61,44.7,27,0,0
12/1/19,40,35.2,30,93,75.7,42,0,0
12/2/19,39,35.7,32,89,86.1,82,0.62,1
12/3/19,38,33.9,32,85,69.7,54,0.34,1
12/4/19,40,38.1,34,76,68.4,63,0,0
12/5/19,43,39.9,38,76,57.5,40,0,0
12/6/19,50,42.5,36,53,48.1,38,0,0
12/7/19,38,35.7,32,57,48.5,38,0,0
12/8/19,44,36.7,28,68,56.2,43,0,0
12/9/19,56,47.8,41,93,88.2,73,0.17,1
12/10/19,58,54.2,40,88,77.5,57,1.63,1
12/11/19,40,35.3,32,92,76.5,42,0.43,1
